id,party_id,ideology,news-freq,dis-freq,polarization,party
1300,ind,3,1.811111111,1.629555556,5,3
367,rep,4,1.683333333,1.148222222,3,4
168,rep,5,1.666666667,1.592666667,10,5
270,ind,3,1.861111111,1.037111111,6,3
914,ind,2,1.388888889,1.703555556,8.5,3
1144,dem,2,2.755555556,3.111111111,2.5,2
412,rep,4,2.283333333,1.088888889,10,4
352,rep,3,2.255555556,1,9,4
1335,dem,2,1.75,1.703777778,7,1
1248,dem,4,2.796888889,3.185333333,0,2
962,rep,5,4.172222222,2.222222222,10,5
1271,rep,4,1.7,1.259333333,6.5,4
1013,ind,4,1.294444444,1.333333333,8.5,3
444,rep,4,1.661111111,1.148222222,7.5,4
1134,dem,2,3.061111111,2.036888889,3.5,2
247,ind,1,2.027777778,1,10,3
647,dem,3,1.605555556,1.592666667,9,2
705,dem,1,1.562,2.111111111,9,1
755,dem,1,3.038888889,1.481555556,8.5,1
417,dem,1,1.661111111,1.518444444,1,2
49,dem,1,2.583333333,1.481333333,8,1
994,rep,5,1.688888889,3.592666667,10,4
747,dem,1,3.426,1.333333333,0,1
512,ind,2,1.638888889,3.333333333,2,3
331,ind,4,2.922222222,1.185111111,2,3
438,ind,3,1.944444444,3.296222222,2.5,3
300,dem,2,1.633333333,1,9.5,1
1019,dem,1,1.433333333,1.666666667,4.5,2
535,dem,1,1.166666667,1.740666667,3,1
26,rep,4,2.661111111,1.481555556,0,4
984,dem,1,2.361111111,2,5.5,1
756,rep,4,3.666666667,4.074,1,5
1323,dem,3,2.305555556,2.466666667,9,2
827,ind,3,2.416666667,2.962888889,3,3
1059,rep,5,2.483333333,4.022222222,5.5,5
1010,ind,2,2.916666667,2.370444444,2.5,3
283,rep,4,2.055555556,1.777777778,0,4
788,ind,2,2.15,2.148222222,8.5,3
529,ind,4,2,1.592666667,2.5,3
1287,rep,3,3.283333333,3,1.5,4
595,rep,3,2.011111111,1.666666667,10,4
1094,rep,3,3.172222222,3.333333333,4,4
486,ind,3,2.744444444,2.407333333,6.5,3
1221,dem,1,2.677777778,2.777777778,0,1
1141,dem,4,3.122222222,3.259333333,3.5,1
1274,dem,2,1.361111111,1.148222222,9.5,2
463,dem,1,3.038888889,1.925777778,2,1
679,ind,4,1.722222222,1.481555556,7,3
551,ind,1,1.933333333,2.555555556,6,3
304,dem,3,1.388888889,1,5,2
58,rep,2,2.294444444,3.037111111,3.5,4
1088,rep,4,1.627777778,1.851777778,6.5,4
324,dem,1,2.1,1.259333333,10,1
684,rep,4,1.472222222,1.703777778,7.5,4
345,ind,5,2.766666667,1.333333333,3,3
74,rep,2,2.183333333,3.222222222,0.5,4
349,rep,5,1.877777778,1.592666667,10,5
1230,dem,1,1,1,0,1
464,dem,1,1.672222222,1.333333333,8,2
1190,ind,4,2.816666667,3.185111111,4,3
1005,rep,4,2,2.444444444,9.5,5
533,rep,3,1.75,1.814888889,5.5,4
623,ind,3,2.7,1.555555556,7.5,3
481,dem,2,1.622222222,1.703555556,2,2
269,dem,3,1.25,1.148222222,0.5,2
1159,dem,1,2.975333333,2.962888889,10,1
557,dem,2,3.4,2.370444444,8,2
265,ind,3,2.627777778,1.092666667,5,3
588,rep,4,2.65,1.333333333,3,4
842,rep,4,1.872222222,1.925777778,10,4
598,rep,5,1.5,1.814888889,8,4
601,ind,2,1.733333333,1.592666667,7.5,3
116,rep,5,2.088888889,1,5,5
879,rep,5,2.477777778,3.111111111,8,4
1104,dem,5,2.627777778,2.666666667,5,1
702,ind,5,1.711111111,2.407333333,6,3
1003,dem,3,2.105555556,3.444444444,8,2
494,ind,5,1.127777778,2.296222222,10,3
857,rep,4,1.988888889,2.629777778,9,4
893,ind,2,1.788888889,1.592444444,2,3
357,dem,2,1.672222222,1.777777778,0,2
619,rep,5,2.077777778,1.962888889,7.5,5
606,rep,4,2.127777778,1.333333333,0.5,4
309,ind,3,2.177777778,1.148222222,3.5,3
629,ind,1,2.511111111,1.926,7.5,3
1177,rep,5,2.344444444,1.814888889,10,5
419,ind,4,2.65,1.222222222,0,3
935,ind,3,1.855555556,1.592444444,0,3
782,ind,5,3.094444444,3.777777778,3,3
587,rep,3,1.333333333,1.666666667,4,4
498,ind,5,2.244444444,1.926,1,3
1310,dem,2,2.305555556,1,0,2
169,dem,2,1.761111111,1,5,2
592,dem,2,1.516666667,1.703777778,7.5,2
1282,rep,4,2.166666667,2,3.5,4
1272,dem,4,1.25,1,5,2
250,rep,3,1.738888889,1.148,3,4
1212,ind,3,1.851777778,2.185111111,1,3
1195,rep,5,3.161111111,1.111111111,4,5
312,rep,3,2.155555556,1.148222222,0,4
277,rep,5,1.372222222,2.148,10,5
1187,dem,2,3.127777778,2.407333333,10,2
664,dem,2,1.894444444,1.259333333,7,2
340,dem,4,1.85,1.074,0.5,2
1090,rep,5,1.85,5,10,5
510,ind,4,1.666666667,1.111111111,5.5,3
875,dem,3,2.8,2.963111111,3,2
297,dem,2,2.155555556,1.370444444,4.5,2
1095,rep,3,2.35,1.666666667,4,5
134,ind,4,1.727777778,1.444444444,10,3
777,ind,3,2.166666667,2.703555556,1,3
413,rep,4,1.377777778,1.259333333,2,4
468,dem,2,2.294444444,1.962888889,5.5,2
1203,rep,4,3.477777778,4.370444444,7,4
1286,ind,4,1.605555556,1,2,3
771,dem,3,2.555555556,2.148222222,0,2
908,dem,3,1.922222222,2.333333333,2.5,2
263,ind,2,1.412666667,1.592666667,8.5,3
487,ind,4,1.583333333,1.629555556,4.5,3
1293,rep,3,2.461111111,1,0,4
904,dem,2,2.105555556,2.740666667,7.5,1
998,ind,3,1.544444444,3.407555556,0.5,3
1092,ind,4,1.983333333,1.111111111,6,3
470,rep,4,2.733333333,1.755555556,9.5,4
1004,ind,3,4.469777778,4.518666667,0,3
763,dem,2,1.944444444,1.888888889,3.5,2
943,ind,2,2.211111111,2.518444444,6.5,3
1328,dem,1,3.283333333,3,10,1
47,rep,2,2.95,4.148222222,0,4
474,ind,3,3.766666667,1.222222222,0.5,3
542,dem,2,1.738888889,1.555555556,2.5,2
852,rep,5,3.066666667,2.740888889,2.5,5
1298,ind,2,2.105555556,2.555555556,3.5,3
118,ind,3,1.627777778,3.222222222,0,3
1116,dem,4,3.666666667,2.926,1.5,2
648,dem,1,1.522222222,2.222222222,7.5,1
1295,dem,2,1.044444444,2.629555556,0.5,2
1057,rep,4,2.161111111,3.629555556,7.5,4
197,ind,2,1.811111111,1.259333333,2.5,3
395,rep,4,2.172222222,2.926,4.5,4
1302,dem,2,5,3.814666667,0,2
1119,rep,5,1.988888889,2.259333333,5,5
1031,ind,4,3.027777778,3.555555556,7.5,3
354,rep,4,2.183333333,3.740888889,1.5,4
368,rep,4,2.033333333,1.148222222,3.5,4
365,ind,4,3.477777778,3.444444444,1,3
157,dem,2,1.083333333,1.963111111,1,2
126,dem,1,2.933333333,2.037111111,10,1
517,dem,3,2.355555556,1.481555556,8.5,2
41,dem,2,1.605555556,1.111111111,1,2
700,dem,2,1.727777778,1.444444444,10,2
1097,dem,5,3.605555556,3.814666667,5,2
67,rep,2,2.222222222,2.740666667,4,4
480,rep,4,1.805555556,2.370444444,9,4
874,dem,2,1.927777778,2.037111111,8,1
1131,rep,4,2.203777778,2.703555556,8,4
638,rep,2,1.955555556,1.518444444,2,4
749,rep,4,1.916666667,1.444444444,3,4
707,ind,5,1.611111111,2.407333333,10,3
1160,rep,3,3.266666667,3.333333333,5,5
683,rep,4,1.666666667,2.022222222,7.5,4
